,Area,Perimeter,Compactness,Occlusivity,Min_radial,Volume,RayPortion_sky,RayPortion_obstacles,Betweenness_car,Betweenness_ped,subjective,objective,objective_discrete
167,2226.668534,294.84813330000003,0.32190309300000003,86.77046537,3.152037813,471857.0,0.159483596,0.435643564,4283822,2694,2,1.3,1
168,2977.992218,414.4502636,0.21786556,177.3647981,3.245271877,533665.0,0.17860609600000002,0.405746457,4283822,2694,2,1.3,1
169,4826.677231000001,602.4081017999999,0.167138505,98.90006095,4.83184786,715232.0,0.235099981,0.306542419,4283822,2694,2,1.166666667,0
170,3516.335617,600.8709169,0.122387712,103.7724563,10.1651854,717272.0,0.23781789899999997,0.293729373,4309362,2606,2,1.4333333330000002,2
171,2305.513214,548.4868700000001,0.09630415099999999,176.36940769999998,4.407759394,705346.0,0.228887595,0.31178412,4309362,2606,2,1.2,1
172,1926.208069,242.7266088,0.410845264,43.76926557,3.67945174,489118.0,0.163657542,0.413123665,4309362,2606,2,1.2,1
173,1957.560623,244.5328325,0.411387155,36.31802514,3.65913733,404217.0,0.13609008,0.448650747,4309362,2606,2,1.533333333,3
174,2039.6221010000002,244.45106830000003,0.428919404,32.07415333,2.642168013,382673.0,0.12890700800000002,0.475247525,4309362,2606,2,1.3666666669999998,2
175,2160.559433,251.53242319999998,0.429129264,31.73396753,2.8758821510000003,369402.0,0.126383227,0.475829936,4309362,2606,2,1.3666666669999998,2
176,2257.919556,258.0072085,0.42624043799999994,38.47191098,3.109598488,364420.0,0.125024267,0.47369442799999995,4309362,2606,2,1.133333333,0
177,2549.64978,272.53362999999996,0.431370252,120.42375790000001,2.899929447,380529.0,0.130654242,0.472141332,4309362,2606,2,1.1,0
178,3196.379669,311.7824514,0.413204354,134.786532,2.7120051910000003,452733.0,0.150844496,0.453698311,4309362,2606,1,1.3,1
179,6242.40918,632.8573001,0.19586214600000001,213.10914849999998,2.524079168,756061.0,0.23354688399999998,0.344010872,133528,2016,1,1.166666667,0
180,3456.242218,443.10607310000006,0.22120688,157.3190177,3.116484026,717597.0,0.22112211199999998,0.36594836,133528,2016,2,1.166666667,0
